name,address,postcode,area_name,area_code,long,lat
William Hill Organization Limited,"William Hill, 10 Brackley Street, Bolton",BL4 9DR,Bolton,E08000001,-2.394469,53.547947
William Hill Organization Limited,"William Hill, 22 Glynne Street, Farnworth, Bolton",BL4 7DY,Bolton,E08000001,-2.404155,53.550515
William Hill Organization Limited,"William Hill, 22 Newport Street, Bolton",BL1 1NB,Bolton,E08000001,-2.42972,53.577031
William Hill Organization Limited,"William Hill, 227/229 Halliwell Road, Bolton",BL1 3NT,Bolton,E08000001,-2.436881,53.591953
William Hill Organization Limited,"William Hill, 256-258 Chorley Old Road, Bolton",BL1 4JE,Bolton,E08000001,-2.451222,53.586533
William Hill Organization Limited,"William Hill, 279 Rishton Lane, Bolton",BL3 2EH,Bolton,E08000001,-2.428829,53.560657
William Hill Organization Limited,"William Hill, 32 Market Street, Westhoughton, Bolton",BL5 3AN,Bolton,E08000001,-2.521108,53.548929
William Hill Organization Limited,"William Hill, 5 Market Street, Little Lever, Bolton",BL3 1HH,Bolton,E08000001,-2.371957,53.562266
William Hill Organization Limited,"William Hill, 87 Glynne Street, Farnworth, Bolton",BL4 7DH,Bolton,E08000001,-2.406921,53.549409
Tote (Successor Company) Limited,"Totesport, 150 Blackburn Road, Bolton",BL1 8DR,Bolton,E08000001,-2.430573,53.591158
Cashino Gaming Limited,"Cashino Gaming Limited, 47-49 Brackley Street, Farnworth, Bolton",BL4 9DS,Bolton,E08000001,-2.394573,53.547562
Cashino Gaming Limited,"Cashino Gaming Limited, 51-55 Brackley Street, Farnworth, Bolton",BL4 9DS,Bolton,E08000001,-2.394573,53.547562
Bolton Wanderers Development Association (Chorley) Limited,"Bolton Wanderers Development Association (Chorley) Limited, Bolton Wanderers Football Club, Macron Staduim, Burnden Way,Lostock, Bolton",BL6 6JW,Bolton,E08000001,-2.536279,53.580169
Rank Leisure Limited,"Rank Leisure, Agc 1, Breightmet Fold Lane, Bolton",BL2 6PP,Bolton,E08000001,-2.382316,53.582459
Rank Leisure Limited,"Rank Leisure, Agc 2, Breightmet Fold Lane, Bolton",BL2 6PP,Bolton,E08000001,-2.382316,53.582459
Done Brothers (Cash Betting) Limited,"Betfred, 11 Bridge Street, Ramsbottom, Bury",BL0 9AB,Bury,E08000002,-2.314923,53.648025
Done Brothers (Cash Betting) Limited,"Betfred, 130 Water Street, Radcliffe, Manchester",M26 4BE,Bury,E08000002,-2.334585,53.563151
Done Brothers (Cash Betting) Limited,"Betfred, 135 Bury New Road, Prestwich, Manchester",M25 9NX,Bury,E08000002,-2.276789,53.523625
Done Brothers (Cash Betting) Limited,"Betfred, 168 Walmersley Road, Bury",BL9 6LL,Bury,E08000002,-2.290648,53.602437
Done Brothers (Cash Betting) Limited,"Betfred, 203 Manchester Road, Bury",BL9 9HL,Bury,E08000002,-2.298369,53.582968
Done Brothers (Cash Betting) Limited,"Betfred, 22 Longfield Centre, Prestwich, Manchester",M25 1AY,Bury,E08000002,-2.284273,53.532955
Done Brothers (Cash Betting) Limited,"Betfred, 30 Haymarket Street, Bury",BL9 0AY,Bury,E08000002,-2.297905,53.592101
Done Brothers (Cash Betting) Limited,"Betfred, 322 Tottington Road, Bury",BL8 1TA,Bury,E08000002,-2.321905,53.603175
Done Brothers (Cash Betting) Limited,"Betfred, 35 Market Street, Bury",BL9 0BL,Bury,E08000002,-2.296606,53.592185
Done Brothers (Cash Betting) Limited,"Betfred, 417 Bury Old Road, Prestwich, Manchester",M25 1PS,Bury,E08000002,-2.27138,53.536284
Done Brothers (Cash Betting) Limited,"Betfred, 7 Elms Square, Whitefield, Manchester",M45 7TA,Bury,E08000002,-2.296255,53.553166
Done Brothers (Cash Betting) Limited,"Betfred, 7 Silver Street, Bury",BL9 0EU,Bury,E08000002,-2.298166,53.593033
Done Brothers (Cash Betting) Limited,"Betfred, 88 Rochdale Road, Bury",BL9 7AY,Bury,E08000002,-2.286592,53.5929
Done Brothers (Cash Betting) Limited,"Betfred, Unit 5 Radius Devt Longfield Centre, Prestwich, Manchester",M25 1AY,Bury,E08000002,-2.284273,53.532955
Done Brothers (Cash Betting) Limited,"Unit 3 Apex Centre, Water Street, Radcliffe, Manchester",M26 4DF,Bury,E08000002,-2.331297,53.563922
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 35 Bolton Street, Ramsbottom, Bury",BL0 9HU,Bury,E08000002,-2.318537,53.647577
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 36 Stand Lane, Radcliffe, Manchester",M26 1LJ,Bury,E08000002,-2.323355,53.557859
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 4 Ribble Drive, Bury",BL9 6RT,Bury,E08000002,-2.292537,53.622081
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 48 Bury New Road, Prestwich, Manchester",M25 0JU,Bury,E08000002,-2.271845,53.519456
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 7 Albert Place, Whitefield, Manchester",M45 8NE,Bury,E08000002,-2.277091,53.551353
Ladbrokes Betting & Gaming Limited,"Ladbrokes, Unit 4, Ribble Drive, Whitefield, Manchester",M45 8AJ,Bury,E08000002,-2.27629,53.551497
Luxury Leisure,"Nobles Amusements, 13 The Rock, Bury",BL9 0JP,Bury,E08000002,-2.295864,53.594057
Luxury Leisure,"Nobles Amusements, 47 Market Street, Bury",BL9 0BH,Bury,E08000002,-2.295889,53.591171
David Seldon Scott & Siobhan Mercia Ellen Corolina Scott,"Limelight Amusements, 9 Dale Street, Radcliffe, Manchester",M26 1AB,Bury,E08000002,-2.325793,53.558877
Coral Racing Limited,"Coral, Unit 3 Princess Parade, Bury",BL9 0QL,Bury,E08000002,-2.295258,53.591649
Coral Racing Limited,"Coral Racing Ltd, 105 The Rock, Bury",BL9 0NB,Bury,E08000002,-2.294402,53.594644
Coral Racing Limited,"Coral Racing Ltd, 119-121 Radcliffe Road, Bury",BL9 9LD,Bury,E08000002,-2.303095,53.580619
Coral Racing Limited,"Coral Racing Ltd, 2 The Rock, Bury",BL9 0NT,Bury,E08000002,-2.296616,53.593596
Coral Racing Limited,"Coral Racing Ltd, 319 Bolton Road, Bury",BL8 2PD,Bury,E08000002,-2.319542,53.588459
Coral Racing Limited,"Coral Racing Ltd, 37-39 Cross Lane, Radcliffe, Manchester",M26 2QZ,Bury,E08000002,-2.316823,53.564198
Coral Racing Limited,"Coral Racing Ltd, 384 Parr Lane, Bury",BL9 8LU,Bury,E08000002,-2.281003,53.556368
Coral Racing Limited,"Coral Racing Ltd, 462 Bury New Road, Prestwich, Manchester",M25 1AX,Bury,E08000002,-2.285044,53.533169
William Hill Organization Limited,"William Hill, 1/3 Market Place, Bury",BL9 0LD,Bury,E08000002,-2.297355,53.593469
William Hill Organization Limited,"William Hill, 159 Ainsworth Road, Radcliffe, Manchester",M26 4FD,Bury,E08000002,-2.335751,53.567454
William Hill Organization Limited,"William Hill, 17 Blackburn Street, Radcliffe, Manchester",M26 1NN,Bury,E08000002,-2.325492,53.558745
William Hill Organization Limited,"William Hill, 287 Middleton Road, Manchester",M8 4LY,Bury,E08000002,-2.247193,53.52831
William Hill Organization Limited,"William Hill, 4 Princess Parade, Bury",BL9 0QL,Bury,E08000002,-2.295258,53.591649
Tote (Successor Company) Limited,"Totesport, 58 Moorgate, Bury",BL9 7AF,Bury,E08000002,-2.287724,53.596836
Cheshire Sporting Club Limited,"Cheshire Sporting Club Limited, Bloom Street Casino, 11 Bloom Street, Manchester",M1 3HS,Manchester,E08000003,-2.235812,53.478231
Cheshire Sporting Club Limited,"Cheshire Sporting Club Limited, Dickinson House, Dickinson Street, Manchester",M1 4LF,Manchester,E08000003,-2.240634,53.476179
Genting Casinos UK Limited,"Genting Casino Manchester, 110-114 Portland Street (premisess licence number 099902), Manchester",M1 4RL,Manchester,E08000003,-2.242024,53.476716
Genting Casinos UK Limited,"Manchester Mint, 110-114 Portland Street (premisess licence number 099904), Manchester",M1 6DE,Manchester,E08000003,-2.239979,53.477081
I Lewis (Commission Agents) Limited,"Lewis Bookmaker, Hall Lane, Manchester",M23 1AQ,Manchester,E08000003,-2.277063,53.399024
I Lewis (Commission Agents) Limited,"Lewis Bookmakers, 43 Peel Hall Road, Manchester",M22 5DW,Manchester,E08000003,-2.248039,53.381524
I Lewis (Commission Agents) Limited,"Lewis Bookmakers, 48A Faulkner Street, Manchester",M1 4FH,Manchester,E08000003,-2.240407,53.478195
I Lewis (Commission Agents) Limited,"Lewis Bookmakers, 585B Wilbraham Road, Manchester",M21 9AG,Manchester,E08000003,-2.285594,53.437881
Grosvenor Casinos Limited,"Didsbury Grosvenor Casino, Parrswood Entertainment Centre, Kingsway, Wilmslow Road, Manchester",M20 5PG,Manchester,E08000003,-2.219511,53.408664
Grosvenor Casinos Limited,"Grosvenor Casino, 35-39 George Street (or may be 35-39A), Manchester",M1 4HQ,Manchester,E08000003,-2.240602,53.478534
Grosvenor Casinos Limited,"Manchester Bury New Road Grosvenor Casino, 2 Ramsgate Street, Manchester",M8 9SG,Manchester,E08000003,-2.253005,53.496245
Grosvenor Casinos Limited,"Manchester Electric Grosvenor Casino, 2 Ramsgate Street, Manchester",M8 9SG,Manchester,E08000003,-2.253005,53.496245
London Clubs Manchester Limited,"London Clubs, 7-9 Great Northern Square, Deansgate, Manchester",M3 4EJ,Manchester,E08000003,-2.249004,53.477072
London Clubs Manchester Limited,"London Clubs, Manchester 235, 2 Watson Street, Manchester",M3 4LP,Manchester,E08000003,-2.248792,53.477268
