Geography,Measure Type,Unit,Value
E01005494,count,households,19
E01005495,count,households,21
E01005488,count,households,10
E01005492,count,households,8
E01005499,count,households,8
E01005571,count,households,1
E01005570,count,households,2
E01005572,count,households,5
E01005573,count,households,2
E01005574,count,households,6
E01005587,count,households,3
E01005588,count,households,15
E01005580,count,households,29
E01005581,count,households,28
E01005583,count,households,17
E01005585,count,households,24
E01033258,count,households,58
E01005496,count,households,39
E01005589,count,households,19
E01005590,count,households,26
E01005591,count,households,7
E01005592,count,households,49
E01005472,count,households,48
E01005473,count,households,30
E01005482,count,households,36
E01005483,count,households,34
E01005484,count,households,69
E01005486,count,households,56
E01005487,count,households,29
E01005474,count,households,10
E01005575,count,households,5
E01005576,count,households,2
E01005577,count,households,3
E01005469,count,households,21
E01005563,count,households,57
E01005565,count,households,36
E01005566,count,households,40
E01005568,count,households,67
E01005569,count,households,33
E01005556,count,households,11
E01005559,count,households,36
E01005560,count,households,14
E01005567,count,households,23
E01005555,count,households,7
E01005557,count,households,3
E01005558,count,households,18
E01005561,count,households,8
E01005562,count,households,7
E01005470,count,households,33
E01005471,count,households,31
E01005475,count,households,25
E01005485,count,households,27
E01005564,count,households,56
E01005464,count,households,73
E01005465,count,households,32
E01005466,count,households,84
E01005467,count,households,53
E01005468,count,households,9
E01005476,count,households,13
E01005477,count,households,39
E01005478,count,households,30
E01005479,count,households,25
E01005480,count,households,23
E01005481,count,households,18
E01005497,count,households,46
E01005501,count,households,28
E01005502,count,households,19
E01005504,count,households,30
E01005505,count,households,38
E01005509,count,households,56
E01005510,count,households,7
E01005511,count,households,12
E01005512,count,households,19
E01005513,count,households,54
E01005514,count,households,40
E01005515,count,households,66
E01005498,count,households,35
E01005500,count,households,10
E01005503,count,households,2
E01005506,count,households,21
E01005507,count,households,35
E01005508,count,households,10
E01005524,count,households,20
E01005525,count,households,32
E01005526,count,households,35
E01005528,count,households,37
E01005536,count,households,43
E01005543,count,households,5
E01005527,count,households,50
E01005529,count,households,45
E01005551,count,households,71
E01005552,count,households,74
E01005553,count,households,58
E01005554,count,households,12
E01005534,count,households,27
E01005535,count,households,23
E01005537,count,households,5
E01005538,count,households,38
E01005540,count,households,9
E01005541,count,households,31
E01005542,count,households,23
E01005533,count,households,15
E01005539,count,households,29
E01005546,count,households,19
E01005547,count,households,28
E01005548,count,households,16
E01005530,count,households,1
E01005531,count,households,16
E01005532,count,households,49
E01005544,count,households,7
E01005545,count,households,7
E01005549,count,households,4
E01005550,count,households,7
E01005659,count,households,37
E01005660,count,households,54
E01005663,count,households,40
E01005664,count,households,69
E01005665,count,households,84
E01005703,count,households,65
E01005704,count,households,36
E01005706,count,households,57
E01005708,count,households,31
E01005702,count,households,36
E01005705,count,households,27
E01005707,count,households,50
E01005661,count,households,55
E01005662,count,households,61
E01005709,count,households,64
E01005710,count,households,16
E01005670,count,households,40
E01005672,count,households,25
E01005676,count,households,4
E01005677,count,households,19
E01005686,count,households,27
E01005688,count,households,35
E01005691,count,households,9
E01005692,count,households,33
E01005711,count,households,13
E01005712,count,households,26
E01005713,count,households,5
E01005714,count,households,29
E01005715,count,households,5
E01005718,count,households,13
E01005673,count,households,22
E01005675,count,households,31
E01005678,count,households,51
E01005679,count,households,80
E01005687,count,households,41
E01005689,count,households,64
E01005690,count,households,11
E01005693,count,households,17
E01005646,count,households,2
E01005649,count,households,11
E01005650,count,households,15
E01005651,count,households,36
E01005647,count,households,8
E01005648,count,households,15
E01005652,count,households,35
E01005653,count,households,75
E01005671,count,households,28
E01005674,count,households,17
E01005694,count,households,19
E01005696,count,households,19
E01005698,count,households,56
E01005700,count,households,23
E01005716,count,households,5
E01005717,count,households,1
E01005734,count,households,8
E01005735,count,households,3
E01005736,count,households,7
E01005737,count,households,8
E01005739,count,households,12
E01005695,count,households,5
E01005697,count,households,8
E01005738,count,households,5
E01005740,count,households,2
E01005741,count,households,3
E01005742,count,households,8
E01005625,count,households,11
E01005627,count,households,7
E01005699,count,households,6
E01005701,count,households,15
E01005609,count,households,45
E01005611,count,households,58
E01005612,count,households,44
E01005613,count,households,69
E01005614,count,households,17
E01005615,count,households,34
E01005624,count,households,47
E01005680,count,households,49
E01005683,count,households,84
E01032919,count,households,94
E01005622,count,households,16
E01005623,count,households,7
E01005626,count,households,7
E01005628,count,households,8
E01005725,count,households,52
E01005726,count,households,29
E01005727,count,households,24
E01005728,count,households,4
E01005733,count,households,39
E01005631,count,households,10
E01005632,count,households,28
E01005633,count,households,22
E01005634,count,households,3
E01005635,count,households,5
E01005636,count,households,6
E01005637,count,households,13
E01005629,count,households,9
E01005630,count,households,20
E01005719,count,households,25
E01005720,count,households,70
E01005722,count,households,56
E01005723,count,households,47
E01005724,count,households,3
E01005610,count,households,48
E01032684,count,households,20
E01032687,count,households,3
E01032906,count,households,18
E01032907,count,households,19
E01032909,count,households,3
E01032911,count,households,12
E01033330,count,households,31
E01005654,count,households,54
E01005656,count,households,64
E01005657,count,households,29
E01005721,count,households,12
E01005655,count,households,40
E01005658,count,households,74
E01005681,count,households,16
E01005682,count,households,40
E01005729,count,households,50
E01005730,count,households,27
E01005731,count,households,67
E01005732,count,households,41
E01005599,count,households,21
E01005600,count,households,38
E01005601,count,households,48
E01005602,count,households,45
E01005603,count,households,47
E01005604,count,households,30
E01005605,count,households,33
E01005638,count,households,47
E01005667,count,households,61
E01032685,count,households,4
E01032686,count,households,1
E01032912,count,households,45
E01032914,count,households,16
E01032915,count,households,69
E01032917,count,households,17
E01005639,count,households,75
E01005640,count,households,52
E01005641,count,households,25
E01005642,count,households,11
E01005643,count,households,7
E01005644,count,households,12
E01005645,count,households,4
E01005616,count,households,28
E01005617,count,households,11
E01005618,count,households,39
E01005619,count,households,35
E01005620,count,households,32
E01005621,count,households,27
E01005886,count,households,36
E01005888,count,households,32
E01005889,count,households,29
E01005891,count,households,9
E01005894,count,households,12
E01005887,count,households,55
E01005890,count,households,29
E01005893,count,households,31
E01005896,count,households,30
E01005919,count,households,58
E01005862,count,households,6
E01005892,count,households,22
E01005895,count,households,19
E01005920,count,households,8
E01005921,count,households,30
E01005922,count,households,10
E01005753,count,households,73
E01005754,count,households,60
E01005755,count,households,69
E01005756,count,households,88
E01005745,count,households,22
E01005746,count,households,13
E01005747,count,households,4
E01005748,count,households,3
E01005863,count,households,8
E01005864,count,households,8
E01005866,count,households,11
E01005869,count,households,9
E01005914,count,households,15
E01005915,count,households,29
E01005916,count,households,29
E01005917,count,households,51
E01005859,count,households,4
E01005865,count,households,3
E01005867,count,households,2
E01005868,count,households,12
E01005743,count,households,10
E01005744,count,households,19
E01005749,count,households,16
E01005750,count,households,19
E01005751,count,households,26
E01005897,count,households,26
E01005898,count,households,12
E01005900,count,households,17
E01005903,count,households,1
E01005904,count,households,7
E01005853,count,households,36
E01005856,count,households,12
E01005860,count,households,4
E01005861,count,households,8
E01005752,count,households,39
E01005899,count,households,14
E01005901,count,households,1
E01005902,count,households,47
E01005905,count,households,44
E01005852,count,households,6
E01005854,count,households,2
E01005855,count,households,4
E01005857,count,households,4
E01005858,count,households,8
E01005757,count,households,28
E01005758,count,households,41
E01005766,count,households,28
E01005918,count,households,60
E01005870,count,households,29
E01005871,count,households,24
E01005873,count,households,9
E01005875,count,households,12
E01005764,count,households,35
E01005816,count,households,37
E01005817,count,households,21
E01005822,count,households,45
E01005880,count,households,4
E01005881,count,households,2
E01005883,count,households,2
E01005908,count,households,5
E01005765,count,households,7
E01005818,count,households,37
E01005819,count,households,10
E01005820,count,households,24
E01005821,count,households,15
E01005823,count,households,24
E01005825,count,households,9
E01005872,count,households,36
E01005874,count,households,37
E01005876,count,households,14
E01005877,count,households,19
E01005878,count,households,26
E01005879,count,households,10
E01005882,count,households,3
E01005884,count,households,4
E01005885,count,households,8
E01005832,count,households,8
E01005833,count,households,5
E01005835,count,households,6
E01005837,count,households,13
E01005843,count,households,5
E01005769,count,households,18
E01005778,count,households,5
E01005779,count,households,14
E01005780,count,households,9
E01005781,count,households,41
E01005759,count,households,25
E01005760,count,households,44
E01005797,count,households,19
E01005800,count,households,11
E01005804,count,households,18
E01005824,count,households,7
