wd16cd,wd16nm,lad16cd,lad16nm,wd11nm,all,no_qual,percent
E05000818,Stalybridge South,E08000008,Tameside,Stalybridge South,7331,1013,13.8
E05000819,Altrincham,E08000009,Trafford,Altrincham,7589,573,7.6
E05000820,Ashton upon Mersey,E08000009,Trafford,Ashton upon Mersey,6142,449,7.3
E05000821,Bowdon,E08000009,Trafford,Bowdon,5386,336,6.2
E05000822,Broadheath,E08000009,Trafford,Broadheath,8403,693,8.2
E05000823,Brooklands,E08000009,Trafford,Brooklands,6501,404,6.2
E05000824,Bucklow-St Martins,E08000009,Trafford,Bucklow-St Martins,6404,1415,22.1
E05000825,Clifford,E08000009,Trafford,Clifford,7962,1567,19.7
E05000826,Davyhulme East,E08000009,Trafford,Davyhulme East,6181,758,12.3
E05000827,Davyhulme West,E08000009,Trafford,Davyhulme West,6120,696,11.4
E05000828,Flixton,E08000009,Trafford,Flixton,6783,602,8.9
E05000829,Gorse Hill,E08000009,Trafford,Gorse Hill,8006,1252,15.6
E05000830,Hale Barns,E08000009,Trafford,Hale Barns,5548,453,8.2
E05000831,Hale Central,E08000009,Trafford,Hale Central,6576,264,4
E05000832,Longford,E08000009,Trafford,Longford,7695,1180,15.3
E05000833,Priory,E08000009,Trafford,Priory,7229,455,6.3
E05000834,St Mary's,E08000009,Trafford,St Mary's,7416,1100,14.8
E05000835,Sale Moor,E08000009,Trafford,Sale Moor,6543,809,12.4
E05000836,Stretford,E08000009,Trafford,Stretford,7349,1092,14.9
E05000837,Timperley,E08000009,Trafford,Timperley,6950,463,6.7
E05000838,Urmston,E08000009,Trafford,Urmston,7175,807,11.2
E05000839,Village,E08000009,Trafford,Village,6523,850,13
E05000840,Abram,E08000010,Wigan,Abram,10024,2396,23.9
E05000841,Ashton,E08000010,Wigan,Ashton,7791,1048,13.5
E05000842,Aspull New Springs Whelley,E08000010,Wigan,Aspull New Springs Whelley,8172,1319,16.1
E05000843,Astley Mosley Common,E08000010,Wigan,Astley Mosley Common,7515,966,12.9
E05000844,Atherleigh,E08000010,Wigan,Atherleigh,7627,1349,17.7
E05000845,Atherton,E08000010,Wigan,Atherton,9616,2258,23.5
E05000846,Bryn,E08000010,Wigan,Bryn,7302,1237,16.9
E05000847,Douglas,E08000010,Wigan,Douglas,8409,2084,24.8
E05000848,Golborne and Lowton West,E08000010,Wigan,Golborne and Lowton West,7596,1468,19.3
E05000849,Hindley,E08000010,Wigan,Hindley,8526,1784,20.9
E05000850,Hindley Green,E08000010,Wigan,Hindley Green,7319,1144,15.6
E05000851,Ince,E08000010,Wigan,Ince,8816,2534,28.7
E05000852,Leigh East,E08000010,Wigan,Leigh East,8111,1518,18.7
E05000853,Leigh South,E08000010,Wigan,Leigh South,8923,1547,17.3
E05000854,Leigh West,E08000010,Wigan,Leigh West,9856,2259,22.9
E05000855,Lowton East,E08000010,Wigan,Lowton East,8007,865,10.8
E05000856,Orrell,E08000010,Wigan,Orrell,7084,802,11.3
E05000857,Pemberton,E08000010,Wigan,Pemberton,9065,2658,29.3
E05000858,Shevington with Lower Ground,E08000010,Wigan,Shevington with Lower Ground,7404,844,11.4
E05000859,Standish with Langtree,E08000010,Wigan,Standish with Langtree,7662,840,11
E05000860,Tyldesley,E08000010,Wigan,Tyldesley,9617,1505,15.6
E05000861,Wigan Central,E08000010,Wigan,Wigan Central,7619,1142,15
E05000862,Wigan West,E08000010,Wigan,Wigan West,8634,1579,18.3
E05000863,Winstanley,E08000010,Wigan,Winstanley,7598,830,10.9
E05000864,Worsley Mesnes,E08000010,Wigan,Worsley Mesnes,7883,1690,21.4
